"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","DETECTION_GROUP"
2024,"NSW","Major Cities of Australia","65 and over","mobile_phone_use","Police issued",31,0,0,"Police"
2024,"NSW","Outer Regional Australia","17-25","mobile_phone_use","Police issued",6,0,0,"Police"
2024,"NSW","Outer Regional Australia","26-39","mobile_phone_use","Police issued",11,0,0,"Police"
2024,"NSW","Outer Regional Australia","40-64","mobile_phone_use","Police issued",3,0,0,"Police"
2024,"NSW","Outer Regional Australia","65 and over","mobile_phone_use","Police issued",2,0,0,"Police"
2024,"NSW","Remote Australia","17-25","mobile_phone_use","Police issued",1,0,1,"Police"
2024,"NSW","Unknown","17-25","mobile_phone_use","Police issued",12,0,1,"Police"
2024,"NSW","Unknown","26-39","mobile_phone_use","Police issued",14,0,0,"Police"
2024,"NSW","Unknown","40-64","mobile_phone_use","Police issued",10,0,0,"Police"
2024,"NSW","Unknown","65 and over","mobile_phone_use","Police issued",2,0,0,"Police"
2024,"NSW","Unknown","Unknown","mobile_phone_use","Fixed or mobile camera",13537,0,0,"Camera"
2024,"NT","Unknown","17-25","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"NT","Unknown","26-39","mobile_phone_use","Police issued",6,0,1,"Police"
2024,"NT","Unknown","40-64","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"QLD","Unknown","0-16","mobile_phone_use","Fixed camera",162,0,0,"Camera"
2024,"QLD","Unknown","0-16","mobile_phone_use","Police issued",2,0,0,"Police"
2024,"QLD","Unknown","17-25","mobile_phone_use","Fixed camera",864,0,0,"Camera"
2024,"QLD","Unknown","17-25","mobile_phone_use","Police issued",64,0,0,"Police"
2024,"QLD","Unknown","26-39","mobile_phone_use","Fixed camera",2545,0,0,"Camera"
2024,"QLD","Unknown","26-39","mobile_phone_use","Police issued",105,0,0,"Police"
2024,"QLD","Unknown","40-64","mobile_phone_use","Fixed camera",2472,0,0,"Camera"
2024,"QLD","Unknown","40-64","mobile_phone_use","Police issued",53,0,0,"Police"
2024,"QLD","Unknown","65 and over","mobile_phone_use","Fixed camera",318,0,0,"Camera"
2024,"QLD","Unknown","65 and over","mobile_phone_use","Police issued",7,0,0,"Police"
2024,"QLD","Unknown","Unknown","mobile_phone_use","Fixed camera",30,0,0,"Camera"
2024,"SA","Inner Regional Australia","17-25","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"SA","Inner Regional Australia","26-39","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"SA","Inner Regional Australia","40-64","mobile_phone_use","Police issued",2,0,0,"Police"
2024,"SA","Major Cities of Australia","17-25","mobile_phone_use","Police issued",32,0,0,"Police"
2024,"SA","Major Cities of Australia","26-39","mobile_phone_use","Police issued",55,0,0,"Police"
2024,"SA","Major Cities of Australia","40-64","mobile_phone_use","Police issued",42,0,0,"Police"
2024,"SA","Major Cities of Australia","65 and over","mobile_phone_use","Police issued",6,0,0,"Police"
2024,"SA","Outer Regional Australia","17-25","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"SA","Outer Regional Australia","40-64","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"SA","Remote Australia","26-39","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"SA","Unknown","17-25","mobile_phone_use","Police issued",1,0,0,"Police"
2024,"TAS","Unknown","17-25","mobile_phone_use","Fixed or mobile camera",10,0,0,"Camera"
2024,"TAS","Unknown","17-25","mobile_phone_use","Police issued",37,0,0,"Police"
2024,"TAS","Unknown","26-39","mobile_phone_use","Fixed or mobile camera",77,0,0,"Camera"
2024,"TAS","Unknown","26-39","mobile_phone_use","Police issued",44,0,2,"Police"
2024,"TAS","Unknown","40-64","mobile_phone_use","Fixed or mobile camera",50,0,0,"Camera"
2024,"TAS","Unknown","40-64","mobile_phone_use","Police issued",36,0,1,"Police"
2024,"TAS","Unknown","65 and over","mobile_phone_use","Fixed or mobile camera",9,0,0,"Camera"
2024,"TAS","Unknown","65 and over","mobile_phone_use","Police issued",10,0,0,"Police"
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","17-25","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","17-25","mobile_phone_use","Mobile camera",101,0,0,"Camera"
2024,"VIC","Inner Regional Australia","26-39","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","26-39","mobile_phone_use","Mobile camera",387,0,0,"Camera"
2024,"VIC","Inner Regional Australia","40-64","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","40-64","mobile_phone_use","Mobile camera",502,0,0,"Camera"
2024,"VIC","Inner Regional Australia","65 and over","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","65 and over","mobile_phone_use","Mobile camera",85,0,0,"Camera"
2024,"VIC","Inner Regional Australia","Unknown","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","Unknown","mobile_phone_use","Mobile camera",330,0,0,"Camera"
2024,"VIC","Major Cities of Australia","0-16","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","0-16","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","17-25","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","17-25","mobile_phone_use","Mobile camera",290,0,0,"Camera"
2024,"VIC","Major Cities of Australia","26-39","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","26-39","mobile_phone_use","Mobile camera",1402,0,0,"Camera"
2024,"VIC","Major Cities of Australia","40-64","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","40-64","mobile_phone_use","Mobile camera",1884,0,0,"Camera"
2024,"VIC","Major Cities of Australia","65 and over","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","65 and over","mobile_phone_use","Mobile camera",289,0,0,"Camera"
2024,"VIC","Major Cities of Australia","Unknown","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Major Cities of Australia","Unknown","mobile_phone_use","Mobile camera",1223,0,0,"Camera"
2024,"VIC","Outer Regional Australia","0-16","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Outer Regional Australia","0-16","mobile_phone_use","Mobile camera",0,0,0,"Camera"
