"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","DETECTION_GROUP"
2024,"NSW","Major Cities of Australia","40-64","unlicensed_driving","Not applicable",109,0,431,"Unknown"
2024,"NSW","Major Cities of Australia","65 and over","unlicensed_driving","Not applicable",9,0,29,"Unknown"
2024,"NSW","Outer Regional Australia","0-16","unlicensed_driving","Not applicable",0,0,2,"Unknown"
2024,"NSW","Outer Regional Australia","17-25","unlicensed_driving","Not applicable",14,0,47,"Unknown"
2024,"NSW","Outer Regional Australia","26-39","unlicensed_driving","Not applicable",24,0,58,"Unknown"
2024,"NSW","Outer Regional Australia","40-64","unlicensed_driving","Not applicable",13,0,36,"Unknown"
2024,"NSW","Outer Regional Australia","65 and over","unlicensed_driving","Not applicable",1,0,3,"Unknown"
2024,"NSW","Remote Australia","17-25","unlicensed_driving","Not applicable",0,0,4,"Unknown"
2024,"NSW","Remote Australia","26-39","unlicensed_driving","Not applicable",2,0,9,"Unknown"
2024,"NSW","Remote Australia","40-64","unlicensed_driving","Not applicable",1,0,9,"Unknown"
2024,"NSW","Unknown","0-16","unlicensed_driving","Not applicable",1,0,3,"Unknown"
2024,"NSW","Unknown","17-25","unlicensed_driving","Not applicable",6,0,51,"Unknown"
2024,"NSW","Unknown","26-39","unlicensed_driving","Not applicable",18,0,57,"Unknown"
2024,"NSW","Unknown","40-64","unlicensed_driving","Not applicable",8,0,52,"Unknown"
2024,"NSW","Unknown","65 and over","unlicensed_driving","Not applicable",0,0,2,"Unknown"
2024,"NSW","Very Remote Australia","0-16","unlicensed_driving","Not applicable",0,0,1,"Unknown"
2024,"NSW","Very Remote Australia","17-25","unlicensed_driving","Not applicable",0,0,4,"Unknown"
2024,"NSW","Very Remote Australia","26-39","unlicensed_driving","Not applicable",0,0,3,"Unknown"
2024,"NSW","Very Remote Australia","40-64","unlicensed_driving","Not applicable",1,0,2,"Unknown"
2024,"NSW","Very Remote Australia","65 and over","unlicensed_driving","Not applicable",0,0,2,"Unknown"
2024,"NT","Unknown","0-16","unlicensed_driving","Not applicable",0,18,35,"Unknown"
2024,"NT","Unknown","17-25","unlicensed_driving","Not applicable",0,13,45,"Unknown"
2024,"NT","Unknown","26-39","unlicensed_driving","Not applicable",6,12,56,"Unknown"
2024,"NT","Unknown","40-64","unlicensed_driving","Not applicable",7,4,29,"Unknown"
2024,"QLD","Unknown","0-16","unlicensed_driving","Not applicable",59,0,0,"Unknown"
2024,"QLD","Unknown","17-25","unlicensed_driving","Not applicable",622,0,0,"Unknown"
2024,"QLD","Unknown","26-39","unlicensed_driving","Not applicable",1013,0,0,"Unknown"
2024,"QLD","Unknown","40-64","unlicensed_driving","Not applicable",578,0,0,"Unknown"
2024,"QLD","Unknown","65 and over","unlicensed_driving","Not applicable",30,0,0,"Unknown"
2024,"QLD","Unknown","Unknown","unlicensed_driving","Not applicable",1,0,0,"Unknown"
2024,"SA","Inner Regional Australia","65 and over","unlicensed_driving","Not applicable",4,0,0,"Unknown"
2024,"SA","Inner Regional Australia","Unknown","unlicensed_driving","Not applicable",64,0,0,"Unknown"
2024,"SA","Major Cities of Australia","65 and over","unlicensed_driving","Not applicable",12,0,0,"Unknown"
2024,"SA","Major Cities of Australia","Unknown","unlicensed_driving","Not applicable",352,0,0,"Unknown"
2024,"SA","Outer Regional Australia","65 and over","unlicensed_driving","Not applicable",4,0,0,"Unknown"
2024,"SA","Outer Regional Australia","Unknown","unlicensed_driving","Not applicable",68,0,0,"Unknown"
2024,"SA","Remote Australia","65 and over","unlicensed_driving","Not applicable",0,0,0,"Unknown"
2024,"SA","Remote Australia","Unknown","unlicensed_driving","Not applicable",16,0,0,"Unknown"
2024,"SA","Unknown","0-16","unlicensed_driving","Not applicable",0,6,8,"Unknown"
2024,"SA","Unknown","17-25","unlicensed_driving","Not applicable",0,26,50,"Unknown"
2024,"SA","Unknown","26-39","unlicensed_driving","Not applicable",0,68,155,"Unknown"
2024,"SA","Unknown","40-64","unlicensed_driving","Not applicable",0,28,154,"Unknown"
2024,"SA","Unknown","65 and over","unlicensed_driving","Not applicable",0,1,7,"Unknown"
2024,"SA","Unknown","Unknown","unlicensed_driving","Not applicable",11,0,0,"Unknown"
2024,"SA","Very Remote Australia","Unknown","unlicensed_driving","Not applicable",11,0,0,"Unknown"
2024,"TAS","Unknown","0-16","unlicensed_driving","Not applicable",0,1,4,"Unknown"
2024,"TAS","Unknown","17-25","unlicensed_driving","Not applicable",6,0,28,"Unknown"
