"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","DETECTION_GROUP"
2024,"NSW","Major Cities of Australia","40-64","non_wearing_seatbelts","Police issued",151,0,2,"Police"
2024,"NSW","Major Cities of Australia","65 and over","non_wearing_seatbelts","Police issued",24,0,0,"Police"
2024,"NSW","Outer Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,1,"Police"
2024,"NSW","Outer Regional Australia","17-25","non_wearing_seatbelts","Police issued",17,0,0,"Police"
2024,"NSW","Outer Regional Australia","26-39","non_wearing_seatbelts","Police issued",43,0,0,"Police"
2024,"NSW","Outer Regional Australia","40-64","non_wearing_seatbelts","Police issued",20,0,6,"Police"
2024,"NSW","Outer Regional Australia","65 and over","non_wearing_seatbelts","Police issued",8,0,0,"Police"
2024,"NSW","Remote Australia","17-25","non_wearing_seatbelts","Police issued",6,0,1,"Police"
2024,"NSW","Remote Australia","26-39","non_wearing_seatbelts","Police issued",9,0,0,"Police"
2024,"NSW","Remote Australia","40-64","non_wearing_seatbelts","Police issued",3,0,0,"Police"
2024,"NSW","Remote Australia","65 and over","non_wearing_seatbelts","Police issued",3,0,0,"Police"
2024,"NSW","Unknown","17-25","non_wearing_seatbelts","Police issued",11,0,0,"Police"
2024,"NSW","Unknown","26-39","non_wearing_seatbelts","Police issued",17,0,0,"Police"
2024,"NSW","Unknown","40-64","non_wearing_seatbelts","Police issued",15,0,0,"Police"
2024,"NSW","Unknown","65 and over","non_wearing_seatbelts","Police issued",3,0,0,"Police"
2024,"NSW","Very Remote Australia","17-25","non_wearing_seatbelts","Police issued",1,0,0,"Police"
2024,"NSW","Very Remote Australia","26-39","non_wearing_seatbelts","Police issued",2,0,0,"Police"
2024,"NSW","Very Remote Australia","40-64","non_wearing_seatbelts","Police issued",1,0,0,"Police"
2024,"NT","Unknown","0-16","non_wearing_seatbelts","Police issued",0,0,3,"Police"
2024,"NT","Unknown","17-25","non_wearing_seatbelts","Police issued",6,0,3,"Police"
2024,"NT","Unknown","26-39","non_wearing_seatbelts","Police issued",17,0,14,"Police"
2024,"NT","Unknown","40-64","non_wearing_seatbelts","Police issued",13,0,7,"Police"
2024,"NT","Unknown","65 and over","non_wearing_seatbelts","Police issued",1,0,0,"Police"
2024,"QLD","Unknown","0-16","non_wearing_seatbelts","Fixed camera",42,0,0,"Camera"
2024,"QLD","Unknown","17-25","non_wearing_seatbelts","Fixed camera",386,0,0,"Camera"
2024,"QLD","Unknown","17-25","non_wearing_seatbelts","Police issued",99,0,0,"Police"
2024,"QLD","Unknown","26-39","non_wearing_seatbelts","Fixed camera",1150,0,0,"Camera"
2024,"QLD","Unknown","26-39","non_wearing_seatbelts","Police issued",116,0,0,"Police"
2024,"QLD","Unknown","40-64","non_wearing_seatbelts","Fixed camera",1157,0,0,"Camera"
2024,"QLD","Unknown","40-64","non_wearing_seatbelts","Police issued",93,0,0,"Police"
2024,"QLD","Unknown","65 and over","non_wearing_seatbelts","Fixed camera",247,0,0,"Camera"
2024,"QLD","Unknown","65 and over","non_wearing_seatbelts","Police issued",14,0,0,"Police"
2024,"QLD","Unknown","Unknown","non_wearing_seatbelts","Fixed camera",19,0,0,"Camera"
2024,"SA","Inner Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0,"Police"
2024,"SA","Inner Regional Australia","17-25","non_wearing_seatbelts","Police issued",7,0,0,"Police"
2024,"SA","Inner Regional Australia","26-39","non_wearing_seatbelts","Police issued",13,0,0,"Police"
2024,"SA","Inner Regional Australia","40-64","non_wearing_seatbelts","Police issued",21,0,0,"Police"
2024,"SA","Inner Regional Australia","65 and over","non_wearing_seatbelts","Police issued",7,0,0,"Police"
2024,"SA","Major Cities of Australia","0-16","non_wearing_seatbelts","Police issued",2,0,0,"Police"
2024,"SA","Major Cities of Australia","17-25","non_wearing_seatbelts","Police issued",30,0,0,"Police"
2024,"SA","Major Cities of Australia","26-39","non_wearing_seatbelts","Police issued",32,0,0,"Police"
2024,"SA","Major Cities of Australia","40-64","non_wearing_seatbelts","Police issued",42,0,0,"Police"
2024,"SA","Major Cities of Australia","65 and over","non_wearing_seatbelts","Police issued",24,0,0,"Police"
2024,"SA","Outer Regional Australia","0-16","non_wearing_seatbelts","Police issued",1,0,0,"Police"
2024,"SA","Outer Regional Australia","17-25","non_wearing_seatbelts","Police issued",12,0,0,"Police"
2024,"SA","Outer Regional Australia","26-39","non_wearing_seatbelts","Police issued",13,0,0,"Police"
2024,"SA","Outer Regional Australia","40-64","non_wearing_seatbelts","Police issued",15,0,0,"Police"
2024,"SA","Outer Regional Australia","65 and over","non_wearing_seatbelts","Police issued",7,0,0,"Police"
2024,"SA","Remote Australia","17-25","non_wearing_seatbelts","Police issued",2,0,0,"Police"
2024,"SA","Remote Australia","26-39","non_wearing_seatbelts","Police issued",4,0,0,"Police"
2024,"SA","Remote Australia","40-64","non_wearing_seatbelts","Police issued",4,0,0,"Police"
2024,"SA","Remote Australia","65 and over","non_wearing_seatbelts","Police issued",5,0,0,"Police"
2024,"SA","Unknown","40-64","non_wearing_seatbelts","Police issued",1,0,0,"Police"
2024,"SA","Unknown","65 and over","non_wearing_seatbelts","Police issued",1,0,0,"Police"
2024,"SA","Very Remote Australia","17-25","non_wearing_seatbelts","Police issued",1,0,0,"Police"
2024,"SA","Very Remote Australia","26-39","non_wearing_seatbelts","Police issued",7,0,0,"Police"
2024,"SA","Very Remote Australia","40-64","non_wearing_seatbelts","Police issued",5,0,0,"Police"
2024,"SA","Very Remote Australia","65 and over","non_wearing_seatbelts","Police issued",1,0,0,"Police"
2024,"TAS","Unknown","0-16","non_wearing_seatbelts","Fixed or mobile camera",1,0,0,"Camera"
2024,"TAS","Unknown","17-25","non_wearing_seatbelts","Fixed or mobile camera",50,0,0,"Camera"
2024,"TAS","Unknown","17-25","non_wearing_seatbelts","Police issued",18,0,2,"Police"
2024,"TAS","Unknown","26-39","non_wearing_seatbelts","Fixed or mobile camera",146,0,0,"Camera"
2024,"TAS","Unknown","26-39","non_wearing_seatbelts","Police issued",30,0,3,"Police"
2024,"TAS","Unknown","40-64","non_wearing_seatbelts","Fixed or mobile camera",143,0,0,"Camera"
2024,"TAS","Unknown","40-64","non_wearing_seatbelts","Police issued",27,0,0,"Police"
2024,"TAS","Unknown","65 and over","non_wearing_seatbelts","Fixed or mobile camera",71,0,0,"Camera"
2024,"TAS","Unknown","65 and over","non_wearing_seatbelts","Police issued",16,0,1,"Police"
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","0-16","non_wearing_seatbelts","Mobile camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","17-25","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","17-25","non_wearing_seatbelts","Mobile camera",64,0,0,"Camera"
2024,"VIC","Inner Regional Australia","26-39","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","26-39","non_wearing_seatbelts","Mobile camera",217,0,0,"Camera"
2024,"VIC","Inner Regional Australia","40-64","non_wearing_seatbelts","Fixed camera",0,0,0,"Camera"
